eegid,filename,chan,abs_delta,abs_theta,abs_alpha1,abs_alpha2,abs_beta,abs_gamma1,abs_gamma2,abs_epsilon,db_delta,db_theta,db_alpha1,db_alpha2,db_beta,db_gamma1,db_gamma2,db_epsilon,rel_delta,rel_theta,rel_alpha1,rel_alpha2,rel_beta,rel_gamma1,rel_gamma2,rel_epsilon
EGI file,0228_BBLong.raw,E11,12.569676399231,12.159366607666,21.3449268341064,0.950837433338165,0.653362095355988,0.189054533839226,0.0629139095544815,0.0377427898347378,10.9228229522705,10.7238969802856,12.7765407562256,-0.599384427070618,-1.93880021572113,-7.54349374771118,-12.0471172332764,-14.3033771514893,0.041809406131506,0.0404446230580409,0.0709977358579636,0.00316268629394472,0.00217322018995349,0.000628835331036837,0.000209264965134583,0.000125540502566868
EGI file,0228_BBLong.raw,E12,8.16086196899414,7.64415216445923,16.6784706115723,0.66459858417511,0.351935148239136,0.0645074248313904,0.022195627912879,0.0166928097605705,9.05515956878662,8.68038845062256,11.6334238052368,-2.27468085289001,-4.91872787475586,-12.3339338302612,-16.5629386901855,-18.0286426544189,0.0409410959109664,0.0383488831834661,0.0836719043552876,0.00333413176704198,0.00176557459968275,0.000323618357594801,0.000111350150555447,8.37438288450542e-05
EGI file,0228_BBLong.raw,E13,3.27153301239014,3.02233529090881,9.39175319671631,0.349231570959091,0.171328693628311,0.0294289439916611,0.014720942825079,0.0146078085526824,5.09771728515625,4.58283090591431,9.03232765197754,-5.14005756378174,-8.17418766021729,-15.7179327011108,-18.3454132080078,-18.5762672424316,0.0342490426264703,0.0316402407156097,0.0983204394578934,0.00365603752434254,0.00179360660591296,0.000308085867550735,0.000154110680488239,0.000152926302965895
EGI file,0228_BBLong.raw,E14,28.3470001220703,16.9758186340332,23.9581165313721,1.78736019134521,2.90220189094543,1.7623473405838,0.975604355335236,0.630969941616058,14.301290512085,12.208836555481,13.3598527908325,2.4227614402771,4.44908285140991,2.39264965057373,-0.116071671247482,-2.086186170578,0.0422770720906556,0.0253179481046067,0.0357314359396696,0.00266569168306887,0.00432837964700801,0.00262838706611564,0.00145502860147145,0.00094103658884245
EGI file,0228_BBLong.raw,E15,19.2273864746094,14.9661302566528,23.3695907592773,1.17630970478058,1.37132930755615,1.00074279308319,0.735464572906494,0.410961836576462,12.6569404602051,11.6378555297852,13.2101621627808,0.426019728183746,1.19284808635712,-0.0484929829835892,-1.34958493709564,-4.0104513168335,0.0390494461171329,0.0303951383878787,0.0474619623273611,0.00238900063559413,0.00278507132482316,0.00203243674089511,0.00149367575819093,0.000834633990432596
EGI file,0228_BBLong.raw,E16,14.9400253295898,13.8394203186035,22.7741241455078,1.2062406539917,1.44674706459045,0.67128050327301,0.293302655220032,0.167759910225868,11.626070022583,11.2835187911987,13.0857105255127,0.592437148094177,1.53702509403229,-1.86848747730255,-5.35407543182373,-7.85250520706177,0.0367837203666568,0.0340739310615593,0.0560719966888428,0.00296987583860755,0.00356202441533761,0.00165275442550945,0.000722138387631745,0.000413040340954697
EGI file,0228_BBLong.raw,E17,31.6843490600586,18.0917282104492,24.0454959869385,1.50364899635315,1.36201846599579,1.17080593109131,0.669135689735413,0.451178729534149,14.751916885376,12.4744806289673,13.3902463912964,1.56140518188477,1.2979302406311,0.552160084247589,-1.7567526102066,-3.50322246551514,0.0551233701407909,0.0314753850301107,0.0418335489928722,0.00261599828954786,0.00236959403181182,0.00203692898674704,0.00116413999198666,0.000784945683819065
EGI file,0228_BBLong.raw,E18,11.0595064163208,9.86375904083252,20.7756748199463,0.913211822509766,0.854430615901947,0.44926130771637,0.300152748823166,0.200314104557037,10.3109693527222,9.75936889648438,12.651834487915,-0.782376170158386,-0.758514046669006,-3.5429208278656,-5.23861408233643,-7.03747034072876,0.0348826586268842,0.0311111673298809,0.0655283138155937,0.00288035068660975,0.00269494958088866,0.00141700986297984,0.000946708241357438,0.000631808347873319
EGI file,0228_BBLong.raw,E19,10.2367906570435,9.13525772094727,20.1301078796387,0.883268356323242,0.716487407684326,0.31319060921669,0.205627575516701,0.170373484492302,9.99019432067871,9.42734241485596,12.5077877044678,-0.941432595252991,-1.50752210617065,-5.14718437194824,-6.88034439086914,-7.70781373977661,0.035919863730669,0.0320546922998296,0.0706345096230507,0.00309929922223091,0.00251408169777798,0.00109895427629132,0.000721526422327565,0.000597823368123131
EGI file,0228_BBLong.raw,E20,7.59800910949707,6.6883864402771,17.0442962646484,0.749295353889465,0.437549084424973,0.119251228868961,0.080227866768837,0.0754236578941345,8.73741054534912,8.0947380065918,11.7273426055908,-1.69266390800476,-3.81043124198914,-9.42476367950439,-10.9786643981934,-11.2632732391357,0.0371460476890206,0.0326989744272497,0.0833281747996807,0.00366324372589588,0.00213914163344141,0.000583009566089102,0.000392227496523711,0.00036874013994172
EGI file,0228_BBLong.raw,E21,29.4873237609863,16.5013675689697,23.9297294616699,2.00187158584595,3.86452293395996,2.42520260810852,1.14261734485626,0.685313940048218,14.4228134155273,12.0763893127441,13.3567628860474,2.94196343421936,5.610023021698,3.66904354095459,0.55739825963974,-1.73453342914581,0.0391929713077843,0.0219327337625954,0.0318061143159866,0.00266078063286841,0.00513651733552771,0.00322344926112861,0.00151870607007896,0.000910882627343924
EGI file,0228_BBLong.raw,E22,19.202564239502,12.8393297195435,22.8811454772949,1.78838670253754,3.58609557151794,2.19107961654663,1.43260204792023,0.881230235099792,12.5631370544434,10.9383716583252,13.1202068328857,2.46071028709412,5.26508283615112,3.37409615516663,1.54227364063263,-0.665431559085846,0.0279540703631938,0.0186908127119144,0.0333091529086232,0.00260343812406063,0.00522044692853732,0.00318965676021488,0.00208550542893429,0.00128284797199141
EGI file,0228_BBLong.raw,E23,10.4879369735718,9.16658115386963,20.2859745025635,0.928174316883087,0.826509237289429,0.396636724472046,0.275486081838608,0.235067680478096,10.0863847732544,9.43595504760742,12.5521516799927,-0.699088573455811,-0.893328547477722,-4.10809373855591,-5.61052560806274,-6.31521701812744,0.034483393188566,0.0301388930529356,0.0666984543204308,0.00305175394751132,0.00271748800961567,0.00130410589204699,0.000905773562995056,0.000772881432129895
EGI file,0228_BBLong.raw,E24,10.1837301254272,8.86723709106445,19.9117736816406,0.923207640647888,0.777560949325562,0.353659570217133,0.251619040966034,0.223702535033226,9.96648216247559,9.29549789428711,12.472487449646,-0.720413088798523,-1.15438401699066,-4.6119556427002,-6.00677156448364,-6.53455305099487,0.0348352435976267,0.0303319467024671,0.0681117214262486,0.00315799438394606,0.00265978439378419,0.00120975486089603,0.000860707053253728,0.000765213892423795
EGI file,0228_BBLong.raw,E25,43.5514373779297,18.6872158050537,23.7426738739014,1.5069215297699,0.727979421615601,0.357778519392014,0.288794249296188,0.303275108337402,16.0154094696045,12.5839748382568,13.3521318435669,1.50259852409363,-1.48700439929962,-4.59304046630859,-5.40626239776611,-5.23531198501587,0.0827019736170769,0.0354860718879435,0.0450861360877752,0.00286156740039587,0.00138239624710487,0.000679403252433985,0.000548405682615515,0.000575904100411277
EGI file,0228_BBLong.raw,E26,17.0153274536133,11.695761680603,21.8789653778076,1.34905791282654,1.55247187614441,1.08495569229126,0.962815165519714,0.908425629138947,12.0986614227295,10.4784278869629,12.9684295654297,1.08197999000549,1.79194700717926,0.314271926879883,-0.190918758511543,-0.437762886285782,0.0334665677510202,0.023003790113661,0.0430326078087091,0.00265339261386544,0.00305347689760051,0.0021339435879068,0.0018937116518857,0.00178673547615969
EGI file,0228_BBLong.raw,E27,11.8372421264648,9.98694705963135,19.6225204467773,0.943641304969788,0.553046941757202,0.244979992508888,0.251825004816055,0.266827344894409,10.6301164627075,9.79924392700195,12.4840650558472,-0.669191002845764,-2.72883868217468,-6.15124130249023,-6.01951789855957,-5.76788854598999,0.0400055069476366,0.0337521909839577,0.0663168709725142,0.00318915876559913,0.00186909438177411,0.000827941870061206,0.000851075551773031,0.000901777794602315
EGI file,0228_BBLong.raw,E28,8.62580299377441,7.56624794006348,17.6191520690918,0.850262999534607,0.583071231842041,0.300854653120041,0.30807763338089,0.319127827882767,9.2778205871582,8.6137056350708,11.9577188491821,-1.0902988910675,-2.43674206733704,-5.27255010604858,-5.14573335647583,-5.00623655319214,0.0326695339754224,0.028656555339694,0.0667311225086451,0.00322030275128782,0.00220833569432476,0.00113946278511053,0.00116681919297985,0.00120867091478615
EGI file,0228_BBLong.raw,E29,4.1805214881897,3.94226884841919,11.0773124694824,0.498017132282257,0.283249348402023,0.114333808422089,0.114413276314735,0.122367784380913,6.18022727966309,5.78239965438843,9.91109657287598,-3.46582984924316,-5.80037689208984,-9.49051952362061,-9.45569229125977,-9.16459178924561,0.0304256794042885,0.0286916858620114,0.0806202687323093,0.00362454960122705,0.00206147789223386,0.000832117199167317,0.000832695594703358,0.000890588181541313
